[DEBUG] 11:47:12:110 GAMECARD_DBG/(557:557): (FileSystem TallGrass| Tam.Bloque:64 Bytes| Cant.Bloques:4096| Tamaño FS:256 Kbytes| Magic_Number:555)

[DEBUG] 11:47:12:115 GAMECARD_DBG/(557:557): (TallGrass Iniciado  | Bloques Libres:4097| Espacio Disponible:256 Kb.)

[DEBUG] 11:47:13:118 GAMECARD_DBG/(557:561): (Intervalo para reconexión con Broker: 600 segundos)

[INFO] 19:05:52:223 GAMECARD_DBG/(8069:8979): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:52:229 GAMECARD_DBG/(8069:8984): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:52:249 GAMECARD_DBG/(8069:8989): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:52:257 GAMECARD_DBG/(8069:8994): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:52:276 GAMECARD_DBG/(8069:8999): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:52:286 GAMECARD_DBG/(8069:9004): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:52:295 GAMECARD_DBG/(8069:9009): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:52:312 GAMECARD_DBG/(8069:9014): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:52:312 GAMECARD_DBG/(8069:9014): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:52:322 GAMECARD_DBG/(8069:9019): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:52:329 GAMECARD_DBG/(8069:9024): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:52:346 GAMECARD_DBG/(8069:9029): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:52:355 GAMECARD_DBG/(8069:9034): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:52:370 GAMECARD_DBG/(8069:9039): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:52:376 GAMECARD_DBG/(8069:9043): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:53:241 GAMECARD_DBG/(8069:9095): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:53:250 GAMECARD_DBG/(8069:9100): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:53:256 GAMECARD_DBG/(8069:9105): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:53:273 GAMECARD_DBG/(8069:9110): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:53:274 GAMECARD_DBG/(8069:9110): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:53:279 GAMECARD_DBG/(8069:9115): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:53:289 GAMECARD_DBG/(8069:9120): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:53:307 GAMECARD_DBG/(8069:9125): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:53:315 GAMECARD_DBG/(8069:9128): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:53:323 GAMECARD_DBG/(8069:9134): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:53:339 GAMECARD_DBG/(8069:9140): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:53:349 GAMECARD_DBG/(8069:9145): SAVE BLOCK | FILE 11.bin
